,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
203,evening,Friday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
204,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,30,Friday,evening,0,0,30,1,1,0,0,0,0,0,39
205,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,50,Tuesday,evening,0,0,80,2,2,0,0,0,0,0,35
206,evening,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
207,,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,70,Thursday,evening,0,0,70,1,1,0,0,0,0,0,44
208,afternoon,Sunday,STYLE,BECKY,STYLE,SINEAD,0,0,Saturday,,0,0,70,2,2,0,0,1,0,0,43
209,evening,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
210,,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,35,Thursday,evening,0,0,35,1,1,0,0,0,0,0,2
211,evening,Thursday,STYLE,SINEAD,STYLE,SINEAD,0,0,Saturday,,0,0,35,2,2,0,0,1,0,0,19
212,afternoon,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,83.8,Thursday,evening,0,1,90,3,3,0,1,1,0,0,23
213,evening,Friday,STYLE,BECKY,STYLE,SINEAD,1,55,Saturday,afternoon,0,0,145,4,4,0,1,1,0,0,20
214,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,50,Friday,evening,0,0,195,5,5,0,1,1,0,0,18
215,evening,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
216,afternoon,Tuesday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
217,afternoon,Tuesday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
218,evening,Thursday,STYLE,BECKY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
219,morning,Saturday,STYLE,KELLY,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
220,afternoon,Thursday,STYLE,SINEAD,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
221,afternoon,Thursday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
222,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,210,Thursday,afternoon,0,1,210,2,1,1,2,0,0,0,35
223,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,210,Thursday,afternoon,0,1,210,2,1,1,2,0,0,0,35
224,evening,Tuesday,STYLE,JJ,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
225,evening,Tuesday,COLOR,JOANNE,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0
226,evening,Thursday,STYLE,JJ,COLOR,JOANNE,2,95,Tuesday,evening,0,1,95,2,1,1,2,0,0,0,37
