"Rk","Gm#","Date","","Tm"," ","Opp","W/L","R","RA","Inn","W-L","Rank","GB","Win","Loss","Save","Time","D/N","Attendance","Streak"
"101","101","Wednesday, Jul 24","boxscore","NYY","@","TEX","L","1","3","","53-48","4","7.0","Garza","Pettitte","Nathan","2:43","N","42,360","-"
"102","102","Thursday, Jul 25","boxscore","NYY","@","TEX","W","2","0","","54-48","4","6.5","Kuroda","Holland","Rivera","2:56","D","35,139","+"
"103","103","Friday, Jul 26","boxscore","NYY","","TBR","L","6","10","","54-49","4","7.0","Hellickson","Sabathia","Rodney","3:44","N","44,486","-"
"104","104","Saturday, Jul 27","boxscore","NYY","","TBR","L","0","1","","54-50","4","8.0","Archer","Nova","","2:46","D","43,424","--"
"105","105","Sunday, Jul 28","boxscore","NYY","","TBR","W-wo","6","5","","55-50","4","7.5","Rivera","McGee","","3:34","D","47,714","+"
"106","106","Tuesday, Jul 30","boxscore","NYY","@","LAD","L-wo","2","3","","55-51","4","8.5","Jansen","Kelley","","2:46","N","52,447","-"
"107","107","Wednesday, Jul 31","boxscore","NYY","@","LAD","W","3","0","","56-51","4","8.0","Logan","Belisario","Rivera","3:00","N","53,013","+"
"108","108","Friday, Aug 2","boxscore","NYY","@","SDP","L","2","7","","56-52","4","8.5","Cashner","Sabathia","","2:50","N","44,124","-"
"109","109","Saturday, Aug 3","boxscore","NYY","@","SDP","W","3","0","","57-52","4","8.5","Nova","Ross","Rivera","2:35","N","44,184","+"
"110","110","Sunday, Aug 4","boxscore","NYY","@","SDP","L","3","6","","57-53","4","9.5","Kennedy","Hughes","Street","3:09","D","43,504","-"
"111","111","Monday, Aug 5","boxscore","NYY","@","CHW","L","1","8","","57-54","4","9.5","Quintana","Pettitte","","3:13","N","27,948","--"
